quechua;espanol
allinllam;bien
piqasqa;molesto
kusisqa;alegre
llakisqa;triste
unqusqa;enfermo
tarpuynin;gramatica
yachay willay;datos curiosos
aya;alma
aycha;carne
manka ;olla
misi;gato
inti;sol
qinti;picaflor
uru;gusano
urqu;montaña
sunqu;corazon
wawa;bebé
warma;niño
maqta;adolescente (M)
pasña;adolescente (F)
wayna;señor
sipas;señora
paya;señora mayor
machu;señor mayor
warmi;mujer
qari;hombre
china;hembra
urqu;macho
kuchi;cerdo
kuntur;condor
misi;gato
allqu;perro
atuq;zorro
wikuña;vicuña
sacha;arbol
wawqi;hermano
lliklla;manta
kallpa ;fuerza
punchaw;dia
killa;mes
wata;año
wayta;flor
ñuqa;yo
qam;tu
pay;el/ella
masi;amigo
chusaq;cero
huk;uno
iskay;dos
kimsa;tres
tawa;cuatro
pichqa;cinco
suqta;seis
qanchis;siete
pusaq;ocho
isqun;nueve
chunka;diez
chunka hukniyuq;once
chunka iskayniyuq;doce
iskay chunka;veinte
kimsa chunka;treinta
pachak;cien
waranqa;mil
hunun;million
qamkuna;ustedes
paykuna;ellos/ellas
ñuqanchik;nosotros (incluyente)
ñuqayku;nosotros (excluyente)
yawar;sangre
challwa;pez
kikllu;calle
chillikuykipa;celular
killachay;lunes
antichay;martes
Quyllurchay;miercoles
illapachaw;jueves
chaskachay;viernes
kuychichay;sabado
initichay;domingo
