quechua;espanol
uyariy;oir
kutipay;repetir
qaway;observar
likay;leer
qillqay;escribir
rimanakuy;hablar
huñupi;en grupo
chimpuy;marcar
takiy;cantar
siqiy;dibujar
yachapayay;practicar
hamutay;pensar
rikchariy;despertar
yupanchay;contar
yuyariy;recordar
Napay;saludar
tarpuynin;gramatica
yachay willay;datos curiosos
Kaypim kani;presente
Manam kaypichu;no esta presente
yaykuymanchu?;puedo entrar?
yaykumuy;pase
Lluqsiymanchu?;puedo salir?
Lluqsiy;salga
Maytuta kichaychik;abra el libro
Maytuta wichqaychik;cierre el libro
Sulpayki;gracias
Imamanta;de nada
Ama hina kaspa;por favor
Ima ninkim?;que dijiste
Allinchu;esta bien?
Yapamanta;otra vez
Ima ninantaq;que significa
Manam yachanichu;no sé
Manam atinichu;no puedo
