quechua;espanol
uyariy;oir
kutipay;repetir
qaway;observar
likay;leer
qillqay;escribir
rimanakuy;hablar
huñupi;en grupo
chimpuy;marcar
takiy;cantar
siqiy;dibujar
yachapayay;practicar
hamutay;pensar
rikchariy;despertar
yupanchay;contar
yuyariy;recordar
napay;saludar
llamkay;trabajar
mikuy;comer 
ripuy;irse
rantiy;comprar
yanuy;cocinar
pichay;barrer
kuyay;amar
hampiy;curar
ñaqchay;peinarse
illay;viajar
asikuy;reir
pachakuy;vestirse
hatariy;despertar
pukllay;jugar
tusuy;bailar
qapariy;gritar
qunqariy;olvidar
